country,date,study_period,Events,pandemic_month
Kenya,7/1/20,Jul 2020-May 2021,1,7
Kenya,8/1/20,Jul 2020-May 2021,1,8
Kenya,9/1/20,Jul 2020-May 2021,1,9
Kenya,10/1/20,Jul 2020-May 2021,1,10
Kenya,11/1/20,Jul 2020-May 2021,1,11
Kenya,12/1/20,Jul 2020-May 2021,1,12
Kenya,1/1/21,Jul 2020-May 2021,1,13
Kenya,2/1/21,Jul 2020-May 2021,1,14
Kenya,3/1/21,Jul 2020-May 2021,1,15
Kenya,4/1/21,Jul 2020-May 2021,1,16
Kenya,5/1/21,Jul 2020-May 2021,1,17
Uganda,9/1/20,Sept 2020-July 2021,1,9
Uganda,10/1/20,Sept 2020-July 2021,1,10
Uganda,11/1/20,Sept 2020-July 2021,1,11
Uganda,12/1/20,Sept 2020-July 2021,1,12
Uganda,1/1/21,Sept 2020-July 2021,1,13
Uganda,2/1/21,Sept 2020-July 2021,1,14
Uganda,3/1/21,Sept 2020-July 2021,1,15
Uganda,4/1/21,Sept 2020-July 2021,1,16
Uganda,5/1/21,Sept 2020-July 2021,1,17
Uganda,6/1/21,Sept 2020-July 2021,1,18
Uganda,7/1/21,Sept 2020-July 2021,1,19
Spain,3/1/20,Mar 2020-May 2020,1,3
Spain,4/1/20,Mar 2020-May 2020,1,4
Spain,5/1/20,Mar 2020-May 2020,1,5
Hong Kong,3/1/20,Mar 2020-Jan 2021,1,3
Hong Kong,4/1/20,Mar 2020-Jan 2021,1,4
Hong Kong,5/1/20,Mar 2020-Jan 2021,1,5
Hong Kong,6/1/20,Mar 2020-Jan 2021,1,6
Hong Kong,7/1/20,Mar 2020-Jan 2021,1,7
Hong Kong,8/1/20,Mar 2020-Jan 2021,1,8
Hong Kong,9/1/20,Mar 2020-Jan 2021,1,9
Hong Kong,10/1/20,Mar 2020-Jan 2021,1,10
Hong Kong,11/1/20,Mar 2020-Jan 2021,1,11
Hong Kong,12/1/20,Mar 2020-Jan 2021,1,12
Hong Kong,1/1/21,Mar 2020-Jan 2021,1,13
Italy,2/1/20,Feb 2020-Mar 2021,1,2
Italy,3/1/20,Feb 2020-Mar 2021,1,3
Italy,4/1/20,Feb 2020-Mar 2021,1,4
Italy,5/1/20,Feb 2020-Mar 2021,1,5
Italy,6/1/20,Feb 2020-Mar 2021,1,6
Italy,7/1/20,Feb 2020-Mar 2021,1,7
Italy,8/1/20,Feb 2020-Mar 2021,1,8
Italy,9/1/20,Feb 2020-Mar 2021,1,9
Italy,10/1/20,Feb 2020-Mar 2021,1,10
Italy,11/1/20,Feb 2020-Mar 2021,1,11
Italy,12/1/20,Feb 2020-Mar 2021,1,12
Italy,1/1/21,Feb 2020-Mar 2021,1,13
Italy,2/1/21,Feb 2020-Mar 2021,1,14
Italy,3/1/21,Feb 2020-Mar 2021,1,15
Africa,3/1/20,Mar-Oct 2020,1,3
Africa,4/1/20,Mar-Oct 2020,1,4
Africa,5/1/20,Mar-Oct 2020,1,5
Africa,6/1/20,Mar-Oct 2020,1,6
Africa,7/1/20,Mar-Oct 2020,1,7
Africa,8/1/20,Mar-Oct 2020,1,8
Africa,9/1/20,Mar-Oct 2020,1,9
Africa,10/1/20,Mar-Oct 2020,1,10
South Africa,4/1/20,April-September 2020,1,4
South Africa,5/1/20,April-September 2020,1,5
South Africa,6/1/20,April-September 2020,1,6
South Africa,7/1/20,April-September 2020,1,7
South Africa,8/1/20,April-September 2020,1,8
South Africa,9/1/20,April-September 2020,1,9
USA,3/1/20,Mar 2020-Feb 2021,1,3
USA,4/1/20,Mar 2020-Feb 2021,1,4
USA,5/1/20,Mar 2020-Feb 2021,1,5
USA,6/1/20,Mar 2020-Feb 2021,1,6
USA,7/1/20,Mar 2020-Feb 2021,1,7
USA,8/1/20,Mar 2020-Feb 2021,1,8
USA,9/1/20,Mar 2020-Feb 2021,1,9
USA,10/1/20,Mar 2020-Feb 2021,1,10
USA,11/1/20,Mar 2020-Feb 2021,1,11
USA,12/1/20,Mar 2020-Feb 2021,1,12
USA,1/1/21,Mar 2020-Feb 2021,1,13
USA,2/1/21,Mar 2020-Feb 2021,1,14
Sweden,3/1/20,"March-July, 2020",1,3
Sweden,4/1/20,"March-July, 2020",1,4
Sweden,5/1/20,"March-July, 2020",1,5
Sweden,6/1/20,"March-July, 2020",1,6
Sweden,7/1/20,"March-July, 2020",1,7
Turkey,5/1/20,May-June 2020,1,5
Turkey,6/1/20,May-June 2020,1,6